filename, Word, Count
Clinton_1999.txt,b'achieve',2
Clinton_1999.txt,b'reversed',1
Clinton_1999.txt,b'gave',1
Clinton_1999.txt,b'include',1
Clinton_1999.txt,b'served',1
Clinton_1999.txt,b'dawn',1
Clinton_1999.txt,b'Early',1
Clinton_1999.txt,b'path',1
Clinton_1999.txt,b'nurture',1
Clinton_1999.txt,b'decent',1
Clinton_1999.txt,b'inspire',1
Clinton_1999.txt,b'Wye',1
Clinton_1999.txt,b'favors',1
Clinton_1999.txt,b'Hill',1
Clinton_1999.txt,b'incentives',2
Clinton_1999.txt,b'running',1
Clinton_1999.txt,b'system',6
Clinton_1999.txt,b'last',11
Clinton_1999.txt,b'Partnership',1
Clinton_1999.txt,b'w',1
Clinton_1999.txt,b'because',4
Clinton_1999.txt,b'stored',1
Clinton_1999.txt,b'talented',1
Clinton_1999.txt,b'two',9
Clinton_1999.txt,b'Justice',1
Clinton_1999.txt,b'fulfill',1
Clinton_1999.txt,b'folks',1
Clinton_1999.txt,b'legacy',1
Clinton_1999.txt,b'Speaker',3
Clinton_1999.txt,b'solving',1
Clinton_1999.txt,b'nations',11
Clinton_1999.txt,b'citizens',2
Clinton_1999.txt,b'technologies',2
Clinton_1999.txt,b'integrated',1
Clinton_1999.txt,b'widows',1
Clinton_1999.txt,b'four',2
Clinton_1999.txt,b'seniors',4
Clinton_1999.txt,b'qualified',1
Clinton_1999.txt,b'Shays',1
Clinton_1999.txt,b'bombing',1
Clinton_1999.txt,b'hit',3
Clinton_1999.txt,b'going',1
Clinton_1999.txt,b'helpless',1
Clinton_1999.txt,b'barely',1
Clinton_1999.txt,b'300',1
Clinton_1999.txt,b'child',5
Clinton_1999.txt,b'both',6
Clinton_1999.txt,b'millennium',3
Clinton_1999.txt,b'NOW',1
Clinton_1999.txt,b'isolate',1
Clinton_1999.txt,b'those',6
Clinton_1999.txt,b'Now',28
Clinton_1999.txt,b'2013',1
Clinton_1999.txt,b'acts',1
Clinton_1999.txt,b'simply',2
Clinton_1999.txt,b'Longterm',1
Clinton_1999.txt,b'peers',1
Clinton_1999.txt,b'Comprehensive',1
Clinton_1999.txt,b'age',2
Clinton_1999.txt,b'assure',1
Clinton_1999.txt,b'Instead',1
Clinton_1999.txt,b'Education',1
Clinton_1999.txt,b'prohibit',1
Clinton_1999.txt,b'safeguard',1
Clinton_1999.txt,b'through',3
Clinton_1999.txt,b'Family',1
Clinton_1999.txt,b'rank',1
Clinton_1999.txt,b'meaning',1
Clinton_1999.txt,b'youre',1
Clinton_1999.txt,b'pursue',1
Clinton_1999.txt,b'Senate',3
Clinton_1999.txt,b'while',2
Clinton_1999.txt,b'guns',2
Clinton_1999.txt,b'debt',1
Clinton_1999.txt,b'trading',1
Clinton_1999.txt,b'longer',3
Clinton_1999.txt,b'house',1
Clinton_1999.txt,b'chemical',1
Clinton_1999.txt,b'hiring',1
Clinton_1999.txt,b'an',8
Clinton_1999.txt,b'return',1
Clinton_1999.txt,b'cuts',1
Clinton_1999.txt,b'theyre',4
Clinton_1999.txt,b'grateful',1
Clinton_1999.txt,b'friends',1
Clinton_1999.txt,b'fight',2
Clinton_1999.txt,b'competition',1
Clinton_1999.txt,b'woman',2
Clinton_1999.txt,b'pregnancy',1
Clinton_1999.txt,b'sharing',1
Clinton_1999.txt,b'stark',1
Clinton_1999.txt,b'If',9
Clinton_1999.txt,b'called',3
Clinton_1999.txt,b'progress',2
Clinton_1999.txt,b'eyes',1
Clinton_1999.txt,b'responsible',2
Clinton_1999.txt,b'move',1
Clinton_1999.txt,b'when',8
Clinton_1999.txt,b'fall',4
Clinton_1999.txt,b'aging',2
Clinton_1999.txt,b'assignments',1
Clinton_1999.txt,b'Chicago',1
Clinton_1999.txt,b'deserve',2
Clinton_1999.txt,b'challenge',5
